rule,support
"214553604, 214821300",2
214553730,4
"214553730, 214826608",2
"214553730, 214826608, 214826816",2
"214553730, 214826705",2
"214553730, 214826816",2
214553844,2
214553855,3
"214553855, 214821369",2
214553936,2
214554131,2
"214554131, 214832557",2
214554350,2
214554358,4
"214554358, 214716928",2
"214554358, 214716928, 214819468",2
"214554358, 214717003",2
"214554358, 214717007",2
"214554358, 214819468",2
214554431,2
"214554431, 214696997",2
"214554431, 214696997, 214712137",2
"214554431, 214696997, 214712137, 214819762",2
"214554431, 214696997, 214819762",2
"214554431, 214712137",2
"214554431, 214712137, 214819762",2
"214554431, 214819762",2
214554510,7
"214554510, 214706432",2
"214554510, 214821028",3
214554765,4
"214554765, 214640017",2
"214554765, 214640017, 214717562",2
"214554765, 214640017, 214717562, 214743495",2
"214554765, 214640017, 214743495",2
"214554765, 214717562",2
"214554765, 214717562, 214743495",2
"214554765, 214743495",2
214554785,3
214554967,5
"214554967, 214585633",3
"214554967, 214585633, 214839311",2
"214554967, 214839311",2
214554982,2
"214554982, 214826615",2
"214554982, 214826615, 214826617",2
"214554982, 214826615, 214826617, 214826621",2
"214554982, 214826615, 214826621",2
"214554982, 214826617",2
"214554982, 214826617, 214826621",2
"214554982, 214826621",2
214555492,2
214555890,2
"214555890, 214718409",2
214555910,3
"214555910, 214832559",2
214556025,2
214556210,3
214556728,2
214556840,5
214557009,2
214557095,3
214557206,3
"214557206, 214826897",2
"214557206, 214826897, 214829285",2
"214557206, 214829285",2
214557270,2
214557416,2
"214557416, 214753513",2
214557701,2
214558160,2
214558192,7
"214558192, 214577518",2
"214558192, 214577518, 214760897",2
"214558192, 214577518, 214760897, 214826925",2
"214558192, 214577518, 214760897, 214826925, 214827005",2
"214558192, 214577518, 214760897, 214826925, 214827005, 214827007",2
"214558192, 214577518, 214760897, 214826925, 214827005, 214827007, 214828987",2
"214558192, 214577518, 214760897, 214826925, 214827005, 214827007, 214828987, 214834865",2
"214558192, 214577518, 214760897, 214826925, 214827005, 214827007, 214834865",2
"214558192, 214577518, 214760897, 214826925, 214827005, 214828987",2
"214558192, 214577518, 214760897, 214826925, 214827005, 214828987, 214834865",2
"214558192, 214577518, 214760897, 214826925, 214827005, 214834865",2
"214558192, 214577518, 214760897, 214826925, 214827007",2
"214558192, 214577518, 214760897, 214826925, 214827007, 214828987",2
"214558192, 214577518, 214760897, 214826925, 214827007, 214828987, 214834865",2
"214558192, 214577518, 214760897, 214826925, 214827007, 214834865",2
"214558192, 214577518, 214760897, 214826925, 214828987",2
"214558192, 214577518, 214760897, 214826925, 214828987, 214834865",2
"214558192, 214577518, 214760897, 214826925, 214834865",2
"214558192, 214577518, 214760897, 214827005",2
"214558192, 214577518, 214760897, 214827005, 214827007",2
"214558192, 214577518, 214760897, 214827005, 214827007, 214828987",2
"214558192, 214577518, 214760897, 214827005, 214827007, 214828987, 214834865",2
"214558192, 214577518, 214760897, 214827005, 214827007, 214834865",2
"214558192, 214577518, 214760897, 214827005, 214828987",2
"214558192, 214577518, 214760897, 214827005, 214828987, 214834865",2
"214558192, 214577518, 214760897, 214827005, 214834865",2
"214558192, 214577518, 214760897, 214827007",2
"214558192, 214577518, 214760897, 214827007, 214828987",2
"214558192, 214577518, 214760897, 214827007, 214828987, 214834865",2
"214558192, 214577518, 214760897, 214827007, 214834865",2
"214558192, 214577518, 214760897, 214828987",2
"214558192, 214577518, 214760897, 214828987, 214834865",2
"214558192, 214577518, 214760897, 214834865",2
"214558192, 214577518, 214826925",2
"214558192, 214577518, 214826925, 214827005",2
"214558192, 214577518, 214826925, 214827005, 214827007",2
"214558192, 214577518, 214826925, 214827005, 214827007, 214828987",2
"214558192, 214577518, 214826925, 214827005, 214827007, 214828987, 214834865",2
"214558192, 214577518, 214826925, 214827005, 214827007, 214834865",2
"214558192, 214577518, 214826925, 214827005, 214828987",2
"214558192, 214577518, 214826925, 214827005, 214828987, 214834865",2
"214558192, 214577518, 214826925, 214827005, 214834865",2
"214558192, 214577518, 214826925, 214827007",2
"214558192, 214577518, 214826925, 214827007, 214828987",2
"214558192, 214577518, 214826925, 214827007, 214828987, 214834865",2
"214558192, 214577518, 214826925, 214827007, 214834865",2
"214558192, 214577518, 214826925, 214828987",2
"214558192, 214577518, 214826925, 214828987, 214834865",2
"214558192, 214577518, 214826925, 214834865",2
"214558192, 214577518, 214827005",2
"214558192, 214577518, 214827005, 214827007",2
"214558192, 214577518, 214827005, 214827007, 214828987",2
"214558192, 214577518, 214827005, 214827007, 214828987, 214834865",2
"214558192, 214577518, 214827005, 214827007, 214834865",2
"214558192, 214577518, 214827005, 214828987",2
"214558192, 214577518, 214827005, 214828987, 214834865",2
"214558192, 214577518, 214827005, 214834865",2
"214558192, 214577518, 214827007",2
"214558192, 214577518, 214827007, 214828987",2
"214558192, 214577518, 214827007, 214828987, 214834865",2
"214558192, 214577518, 214827007, 214834865",2
"214558192, 214577518, 214828987",2
"214558192, 214577518, 214828987, 214834865",2
"214558192, 214577518, 214834865",2
"214558192, 214651427",2
"214558192, 214651427, 214684841",2
"214558192, 214651427, 214684841, 214684845",2
"214558192, 214651427, 214684841, 214684845, 214826912",2
"214558192, 214651427, 214684841, 214684845, 214826912, 214828987",2
"214558192, 214651427, 214684841, 214684845, 214828987",2
"214558192, 214651427, 214684841, 214826912",2
"214558192, 214651427, 214684841, 214826912, 214828987",2
"214558192, 214651427, 214684841, 214828987",2
"214558192, 214651427, 214684845",2
"214558192, 214651427, 214684845, 214826912",2
"214558192, 214651427, 214684845, 214826912, 214828987",2
"214558192, 214651427, 214684845, 214828987",2
"214558192, 214651427, 214826912",2
"214558192, 214651427, 214826912, 214828987",2
"214558192, 214651427, 214828987",2
"214558192, 214684841",3
"214558192, 214684841, 214684845",2
"214558192, 214684841, 214684845, 214826912",2
"214558192, 214684841, 214684845, 214826912, 214828987",2
"214558192, 214684841, 214684845, 214828987",2
"214558192, 214684841, 214826912",2
"214558192, 214684841, 214826912, 214828987",2
"214558192, 214684841, 214826925",2
"214558192, 214684841, 214826925, 214827000",2
"214558192, 214684841, 214826925, 214827000, 214827005",2
"214558192, 214684841, 214826925, 214827000, 214827005, 214828987",2
"214558192, 214684841, 214826925, 214827000, 214827005, 214828987, 214834865",2
"214558192, 214684841, 214826925, 214827000, 214827005, 214834865",2
"214558192, 214684841, 214826925, 214827000, 214828987",2
"214558192, 214684841, 214826925, 214827000, 214828987, 214834865",2
"214558192, 214684841, 214826925, 214827000, 214834865",2
"214558192, 214684841, 214826925, 214827005",2
"214558192, 214684841, 214826925, 214827005, 214828987",2
"214558192, 214684841, 214826925, 214827005, 214828987, 214834865",2
"214558192, 214684841, 214826925, 214827005, 214834865",2
"214558192, 214684841, 214826925, 214828987",2
"214558192, 214684841, 214826925, 214828987, 214834865",2
"214558192, 214684841, 214826925, 214834865",2
"214558192, 214684841, 214827000",2
"214558192, 214684841, 214827000, 214827005",2
"214558192, 214684841, 214827000, 214827005, 214828987",2
"214558192, 214684841, 214827000, 214827005, 214828987, 214834865",2
"214558192, 214684841, 214827000, 214827005, 214834865",2
"214558192, 214684841, 214827000, 214828987",2
"214558192, 214684841, 214827000, 214828987, 214834865",2
"214558192, 214684841, 214827000, 214834865",2
"214558192, 214684841, 214827005",2
"214558192, 214684841, 214827005, 214828987",2
"214558192, 214684841, 214827005, 214828987, 214834865",2
"214558192, 214684841, 214827005, 214834865",2
"214558192, 214684841, 214828987",3
"214558192, 214684841, 214828987, 214834865",2
"214558192, 214684841, 214834865",2
"214558192, 214684845",4
"214558192, 214684845, 214826912",4
"214558192, 214684845, 214826912, 214826925",2
"214558192, 214684845, 214826912, 214826925, 214827005",2
"214558192, 214684845, 214826912, 214826925, 214827005, 214827007",2
"214558192, 214684845, 214826912, 214826925, 214827005, 214827007, 214828987",2
"214558192, 214684845, 214826912, 214826925, 214827005, 214828987",2
"214558192, 214684845, 214826912, 214826925, 214827007",2
"214558192, 214684845, 214826912, 214826925, 214827007, 214828987",2
"214558192, 214684845, 214826912, 214826925, 214828987",2
"214558192, 214684845, 214826912, 214827000",2
"214558192, 214684845, 214826912, 214827000, 214827005",2
"214558192, 214684845, 214826912, 214827000, 214827005, 214827007",2
"214558192, 214684845, 214826912, 214827000, 214827005, 214827007, 214828987",2
"214558192, 214684845, 214826912, 214827000, 214827005, 214827007, 214828987, 214834865",2
"214558192, 214684845, 214826912, 214827000, 214827005, 214827007, 214834865",2
"214558192, 214684845, 214826912, 214827000, 214827005, 214828987",2
"214558192, 214684845, 214826912, 214827000, 214827005, 214828987, 214834865",2
"214558192, 214684845, 214826912, 214827000, 214827005, 214834865",2
"214558192, 214684845, 214826912, 214827000, 214827007",2
"214558192, 214684845, 214826912, 214827000, 214827007, 214828987",2
"214558192, 214684845, 214826912, 214827000, 214827007, 214828987, 214834865",2
"214558192, 214684845, 214826912, 214827000, 214827007, 214834865",2
"214558192, 214684845, 214826912, 214827000, 214828987",2
"214558192, 214684845, 214826912, 214827000, 214828987, 214834865",2
"214558192, 214684845, 214826912, 214827000, 214834865",2
"214558192, 214684845, 214826912, 214827005",3
"214558192, 214684845, 214826912, 214827005, 214827007",3
"214558192, 214684845, 214826912, 214827005, 214827007, 214828987",3
"214558192, 214684845, 214826912, 214827005, 214827007, 214828987, 214834865",2
"214558192, 214684845, 214826912, 214827005, 214827007, 214834865",2
"214558192, 214684845, 214826912, 214827005, 214828987",3
"214558192, 214684845, 214826912, 214827005, 214828987, 214834865",2
"214558192, 214684845, 214826912, 214827005, 214834865",2
"214558192, 214684845, 214826912, 214827007",3
"214558192, 214684845, 214826912, 214827007, 214828987",3
"214558192, 214684845, 214826912, 214827007, 214828987, 214834865",2
"214558192, 214684845, 214826912, 214827007, 214834865",2
"214558192, 214684845, 214826912, 214828987",4
"214558192, 214684845, 214826912, 214828987, 214834865",2
"214558192, 214684845, 214826912, 214834865",2
"214558192, 214684845, 214826925",2
"214558192, 214684845, 214826925, 214827005",2
"214558192, 214684845, 214826925, 214827005, 214827007",2
"214558192, 214684845, 214826925, 214827005, 214827007, 214828987",2
"214558192, 214684845, 214826925, 214827005, 214828987",2
"214558192, 214684845, 214826925, 214827007",2
"214558192, 214684845, 214826925, 214827007, 214828987",2
"214558192, 214684845, 214826925, 214828987",2
"214558192, 214684845, 214827000",2
"214558192, 214684845, 214827000, 214827005",2
"214558192, 214684845, 214827000, 214827005, 214827007",2
"214558192, 214684845, 214827000, 214827005, 214827007, 214828987",2
"214558192, 214684845, 214827000, 214827005, 214827007, 214828987, 214834865",2
"214558192, 214684845, 214827000, 214827005, 214827007, 214834865",2
"214558192, 214684845, 214827000, 214827005, 214828987",2
"214558192, 214684845, 214827000, 214827005, 214828987, 214834865",2
"214558192, 214684845, 214827000, 214827005, 214834865",2
"214558192, 214684845, 214827000, 214827007",2
"214558192, 214684845, 214827000, 214827007, 214828987",2
"214558192, 214684845, 214827000, 214827007, 214828987, 214834865",2
"214558192, 214684845, 214827000, 214827007, 214834865",2
"214558192, 214684845, 214827000, 214828987",2
"214558192, 214684845, 214827000, 214828987, 214834865",2
"214558192, 214684845, 214827000, 214834865",2
"214558192, 214684845, 214827005",3
"214558192, 214684845, 214827005, 214827007",3
"214558192, 214684845, 214827005, 214827007, 214828987",3
"214558192, 214684845, 214827005, 214827007, 214828987, 214834865",2
"214558192, 214684845, 214827005, 214827007, 214834865",2
"214558192, 214684845, 214827005, 214828987",3
"214558192, 214684845, 214827005, 214828987, 214834865",2
"214558192, 214684845, 214827005, 214834865",2
"214558192, 214684845, 214827007",3
"214558192, 214684845, 214827007, 214828987",3
"214558192, 214684845, 214827007, 214828987, 214834865",2
"214558192, 214684845, 214827007, 214834865",2
"214558192, 214684845, 214828987",4
"214558192, 214684845, 214828987, 214834865",2
"214558192, 214684845, 214834865",2
"214558192, 214760897",2
"214558192, 214760897, 214826925",2
"214558192, 214760897, 214826925, 214827005",2
"214558192, 214760897, 214826925, 214827005, 214827007",2
"214558192, 214760897, 214826925, 214827005, 214827007, 214828987",2
"214558192, 214760897, 214826925, 214827005, 214827007, 214828987, 214834865",2
"214558192, 214760897, 214826925, 214827005, 214827007, 214834865",2
"214558192, 214760897, 214826925, 214827005, 214828987",2
"214558192, 214760897, 214826925, 214827005, 214828987, 214834865",2
"214558192, 214760897, 214826925, 214827005, 214834865",2
"214558192, 214760897, 214826925, 214827007",2
"214558192, 214760897, 214826925, 214827007, 214828987",2
"214558192, 214760897, 214826925, 214827007, 214828987, 214834865",2
"214558192, 214760897, 214826925, 214827007, 214834865",2
"214558192, 214760897, 214826925, 214828987",2
"214558192, 214760897, 214826925, 214828987, 214834865",2
"214558192, 214760897, 214826925, 214834865",2
"214558192, 214760897, 214827005",2
"214558192, 214760897, 214827005, 214827007",2
"214558192, 214760897, 214827005, 214827007, 214828987",2
"214558192, 214760897, 214827005, 214827007, 214828987, 214834865",2
"214558192, 214760897, 214827005, 214827007, 214834865",2
"214558192, 214760897, 214827005, 214828987",2
"214558192, 214760897, 214827005, 214828987, 214834865",2
"214558192, 214760897, 214827005, 214834865",2
"214558192, 214760897, 214827007",2
"214558192, 214760897, 214827007, 214828987",2
"214558192, 214760897, 214827007, 214828987, 214834865",2
"214558192, 214760897, 214827007, 214834865",2
"214558192, 214760897, 214828987",2
"214558192, 214760897, 214828987, 214834865",2
"214558192, 214760897, 214834865",2
"214558192, 214826912",4
"214558192, 214826912, 214826925",2
"214558192, 214826912, 214826925, 214827005",2
"214558192, 214826912, 214826925, 214827005, 214827007",2
"214558192, 214826912, 214826925, 214827005, 214827007, 214828987",2
"214558192, 214826912, 214826925, 214827005, 214828987",2
"214558192, 214826912, 214826925, 214827007",2
"214558192, 214826912, 214826925, 214827007, 214828987",2
"214558192, 214826912, 214826925, 214828987",2
"214558192, 214826912, 214827000",2
"214558192, 214826912, 214827000, 214827005",2
"214558192, 214826912, 214827000, 214827005, 214827007",2
"214558192, 214826912, 214827000, 214827005, 214827007, 214828987",2
"214558192, 214826912, 214827000, 214827005, 214827007, 214828987, 214834865",2
"214558192, 214826912, 214827000, 214827005, 214827007, 214834865",2
"214558192, 214826912, 214827000, 214827005, 214828987",2
"214558192, 214826912, 214827000, 214827005, 214828987, 214834865",2
"214558192, 214826912, 214827000, 214827005, 214834865",2
"214558192, 214826912, 214827000, 214827007",2
"214558192, 214826912, 214827000, 214827007, 214828987",2
"214558192, 214826912, 214827000, 214827007, 214828987, 214834865",2
"214558192, 214826912, 214827000, 214827007, 214834865",2
"214558192, 214826912, 214827000, 214828987",2
"214558192, 214826912, 214827000, 214828987, 214834865",2
"214558192, 214826912, 214827000, 214834865",2
"214558192, 214826912, 214827005",3
"214558192, 214826912, 214827005, 214827007",3
"214558192, 214826912, 214827005, 214827007, 214828987",3
"214558192, 214826912, 214827005, 214827007, 214828987, 214834865",2
"214558192, 214826912, 214827005, 214827007, 214834865",2
"214558192, 214826912, 214827005, 214828987",3
"214558192, 214826912, 214827005, 214828987, 214834865",2
"214558192, 214826912, 214827005, 214834865",2
"214558192, 214826912, 214827007",3
"214558192, 214826912, 214827007, 214828987",3
"214558192, 214826912, 214827007, 214828987, 214834865",2
"214558192, 214826912, 214827007, 214834865",2
"214558192, 214826912, 214828987",4
"214558192, 214826912, 214828987, 214834865",2
"214558192, 214826912, 214834865",2
"214558192, 214826925",4
"214558192, 214826925, 214827000",2
"214558192, 214826925, 214827000, 214827005",2
"214558192, 214826925, 214827000, 214827005, 214828987",2
"214558192, 214826925, 214827000, 214827005, 214828987, 214834865",2
"214558192, 214826925, 214827000, 214827005, 214834865",2
"214558192, 214826925, 214827000, 214828987",2
"214558192, 214826925, 214827000, 214828987, 214834865",2
"214558192, 214826925, 214827000, 214834865",2
"214558192, 214826925, 214827005",4
"214558192, 214826925, 214827005, 214827007",3
"214558192, 214826925, 214827005, 214827007, 214828987",3
"214558192, 214826925, 214827005, 214827007, 214828987, 214834865",2
"214558192, 214826925, 214827005, 214827007, 214834865",2
"214558192, 214826925, 214827005, 214828987",4
"214558192, 214826925, 214827005, 214828987, 214834865",3
"214558192, 214826925, 214827005, 214834865",3
"214558192, 214826925, 214827007",3
"214558192, 214826925, 214827007, 214828987",3
"214558192, 214826925, 214827007, 214828987, 214834865",2
"214558192, 214826925, 214827007, 214834865",2
"214558192, 214826925, 214828987",4
"214558192, 214826925, 214828987, 214834865",3
"214558192, 214826925, 214834865",3
"214558192, 214827000",3
"214558192, 214827000, 214827005",3
"214558192, 214827000, 214827005, 214827007",2
"214558192, 214827000, 214827005, 214827007, 214828987",2
"214558192, 214827000, 214827005, 214827007, 214828987, 214834865",2
"214558192, 214827000, 214827005, 214827007, 214834865",2
"214558192, 214827000, 214827005, 214828987",3
"214558192, 214827000, 214827005, 214828987, 214834865",3
"214558192, 214827000, 214827005, 214834865",3
"214558192, 214827000, 214827007",2
"214558192, 214827000, 214827007, 214828987",2
"214558192, 214827000, 214827007, 214828987, 214834865",2
"214558192, 214827000, 214827007, 214834865",2
"214558192, 214827000, 214828987",3
"214558192, 214827000, 214828987, 214834865",3
"214558192, 214827000, 214834865",3
"214558192, 214827005",5
"214558192, 214827005, 214827007",4
"214558192, 214827005, 214827007, 214828987",4
"214558192, 214827005, 214827007, 214828987, 214834865",3
"214558192, 214827005, 214827007, 214834865",3
"214558192, 214827005, 214828987",5
"214558192, 214827005, 214828987, 214834865",4
"214558192, 214827005, 214834865",4
"214558192, 214827007",4
"214558192, 214827007, 214828987",4
"214558192, 214827007, 214828987, 214834865",3
"214558192, 214827007, 214834865",3
"214558192, 214828987",6
"214558192, 214828987, 214834865",4
"214558192, 214834865",4
214558807,2
"214558807, 214819376",2
"214558807, 214819376, 214821300",2
"214558807, 214821300",2
214559317,2
"214559317, 214717003",2
214559726,3
214559730,2
"214559730, 214698446",2
"214559730, 214698446, 214837442",2
"214559730, 214698446, 214837442, 214837485",2
"214559730, 214698446, 214837442, 214837485, 214837487",2
"214559730, 214698446, 214837442, 214837487",2
"214559730, 214698446, 214837485",2
"214559730, 214698446, 214837485, 214837487",2
"214559730, 214698446, 214837487",2
"214559730, 214837442",2
"214559730, 214837442, 214837485",2
"214559730, 214837442, 214837485, 214837487",2
"214559730, 214837442, 214837487",2
"214559730, 214837485",2
"214559730, 214837485, 214837487",2
"214559730, 214837487",2
214560187,3
214560587,2
214560615,3
214561402,5
"214561402, 214606813",2
"214561402, 214667921",2
"214561402, 214667921, 214695285",2
"214561402, 214667921, 214695285, 214709666",2
"214561402, 214667921, 214709666",2
"214561402, 214695285",2
"214561402, 214695285, 214709666",2
"214561402, 214707877",2
"214561402, 214707877, 214707879",2
"214561402, 214707879",2
"214561402, 214707995",2
"214561402, 214707995, 214748293",2
"214561402, 214709666",2
"214561402, 214712137",2
"214561402, 214748293",2
"214561402, 214826619",3
214561520,2
"214561520, 214820812",2
214561775,4
"214561775, 214717410",2
"214561775, 214717412",2
"214561775, 214717412, 214718158",2
"214561775, 214718158",2
"214561775, 214826904",2
214563133,4
"214563133, 214725532",2
214564380,2
"214564380, 214821015",2
"214564380, 214821015, 214826615",2
"214564380, 214821015, 214826615, 214826617",2
"214564380, 214821015, 214826617",2
"214564380, 214826615",2
"214564380, 214826615, 214826617",2
"214564380, 214826617",2
214565512,2
214565623,3
"214565623, 214826955",2
214567005,3
"214567005, 214718160",2
"214567005, 214821024",2
214567100,2
"214567100, 214826897",2
214567376,2
214567404,4
214567410,3
214569714,2
214570963,3
214571188,5
"214571188, 214706441",2
214571904,3
214572182,3
"214572182, 214572234",2
214572234,6
214572264,2
214573001,4
214573168,3
214573230,2
214574670,2
"214574670, 214826619",2
214574672,2
214574754,2
214575491,4
"214575491, 214577711",2
"214575491, 214577711, 214578007",2
"214575491, 214578007",2
"214575491, 214708239",2
214575667,2
"214575667, 214826900",2
214576432,2
214577387,2
"214577387, 214586694",2
214577450,4
214577518,5
"214577518, 214651427",2
"214577518, 214760897",2
"214577518, 214760897, 214826925",2
"214577518, 214760897, 214826925, 214827005",2
"214577518, 214760897, 214826925, 214827005, 214827007",2
"214577518, 214760897, 214826925, 214827005, 214827007, 214828987",2
"214577518, 214760897, 214826925, 214827005, 214827007, 214828987, 214834865",2
"214577518, 214760897, 214826925, 214827005, 214827007, 214834865",2
"214577518, 214760897, 214826925, 214827005, 214828987",2
"214577518, 214760897, 214826925, 214827005, 214828987, 214834865",2
"214577518, 214760897, 214826925, 214827005, 214834865",2
"214577518, 214760897, 214826925, 214827007",2
"214577518, 214760897, 214826925, 214827007, 214828987",2
"214577518, 214760897, 214826925, 214827007, 214828987, 214834865",2
"214577518, 214760897, 214826925, 214827007, 214834865",2
"214577518, 214760897, 214826925, 214828987",2
"214577518, 214760897, 214826925, 214828987, 214834865",2
"214577518, 214760897, 214826925, 214834865",2
"214577518, 214760897, 214827005",2
"214577518, 214760897, 214827005, 214827007",2
"214577518, 214760897, 214827005, 214827007, 214828987",2
"214577518, 214760897, 214827005, 214827007, 214828987, 214834865",2
"214577518, 214760897, 214827005, 214827007, 214834865",2
"214577518, 214760897, 214827005, 214828987",2
"214577518, 214760897, 214827005, 214828987, 214834865",2
"214577518, 214760897, 214827005, 214834865",2
"214577518, 214760897, 214827007",2
"214577518, 214760897, 214827007, 214828987",2
"214577518, 214760897, 214827007, 214828987, 214834865",2
"214577518, 214760897, 214827007, 214834865",2
"214577518, 214760897, 214828987",2
"214577518, 214760897, 214828987, 214834865",2
"214577518, 214760897, 214834865",2
"214577518, 214826925",3
"214577518, 214826925, 214827000",2
"214577518, 214826925, 214827000, 214827007",2
"214577518, 214826925, 214827000, 214827007, 214834865",2
"214577518, 214826925, 214827000, 214834865",2
"214577518, 214826925, 214827005",2
"214577518, 214826925, 214827005, 214827007",2
"214577518, 214826925, 214827005, 214827007, 214828987",2
"214577518, 214826925, 214827005, 214827007, 214828987, 214834865",2
"214577518, 214826925, 214827005, 214827007, 214834865",2
"214577518, 214826925, 214827005, 214828987",2
"214577518, 214826925, 214827005, 214828987, 214834865",2
"214577518, 214826925, 214827005, 214834865",2
"214577518, 214826925, 214827007",3
"214577518, 214826925, 214827007, 214828987",2
"214577518, 214826925, 214827007, 214828987, 214834865",2
"214577518, 214826925, 214827007, 214834865",3
"214577518, 214826925, 214828987",2
"214577518, 214826925, 214828987, 214834865",2
"214577518, 214826925, 214834865",3
"214577518, 214827000",2
"214577518, 214827000, 214827007",2
"214577518, 214827000, 214827007, 214834865",2
"214577518, 214827000, 214834865",2
"214577518, 214827005",2
"214577518, 214827005, 214827007",2
"214577518, 214827005, 214827007, 214828987",2
"214577518, 214827005, 214827007, 214828987, 214834865",2
"214577518, 214827005, 214827007, 214834865",2
"214577518, 214827005, 214828987",2
"214577518, 214827005, 214828987, 214834865",2
"214577518, 214827005, 214834865",2
"214577518, 214827007",3
"214577518, 214827007, 214828987",2
"214577518, 214827007, 214828987, 214834865",2
"214577518, 214827007, 214834865",3
"214577518, 214828987",3
"214577518, 214828987, 214834865",2
"214577518, 214834865",3
214577711,2
"214577711, 214578007",2
214578007,2
214578176,2
214580790,2
214581482,3
"214581482, 214606790",2
"214581482, 214606805",2
"214581482, 214606805, 214707875",2
"214581482, 214606805, 214707875, 214821015",2
"214581482, 214606805, 214821015",2
"214581482, 214707875",2
"214581482, 214707875, 214821015",2
"214581482, 214821015",2
214581489,6
"214581489, 214602605",3
"214581489, 214602605, 214680371",2
"214581489, 214680371",2
"214581489, 214712235",2
214581551,2
"214581551, 214709666",2
214581761,2
"214581761, 214840762",2
214581954,2
214582380,2
214582385,2
214582387,4
"214582387, 214600502",2
214582391,2
214582502,2
214583947,2
214584092,2
214584808,2
214584815,3
"214584815, 214587307",3
214584920,4
214584939,4
214585100,2
214585138,2
214585395,18
"214585395, 214585397",2
"214585395, 214820413",3
"214585395, 214821277",4
"214585395, 214821290",3
"214585395, 214826702",2
"214585395, 214826955",2
214585397,5
214585597,3
"214585597, 214717412",2
214585633,5
"214585633, 214826955",2
"214585633, 214826955, 214839311",2
"214585633, 214839311",4
214585644,2
214586432,2
"214586432, 214674401",2
214586694,5
"214586694, 214601229",2
"214586694, 214601229, 214821300",2
"214586694, 214717286",2
"214586694, 214717286, 214826837",2
"214586694, 214717286, 214826837, 214826908",2
"214586694, 214717286, 214826908",2
"214586694, 214820392",2
"214586694, 214821300",3
"214586694, 214821300, 214826908",2
"214586694, 214826837",2
"214586694, 214826837, 214826908",2
"214586694, 214826908",3
214586711,12
"214586711, 214821302",2
"214586711, 214821305",4
"214586711, 214821307",3
"214586711, 214821309",2
214586743,2
214586805,3
214586923,2
214586983,9
"214586983, 214718362",2
"214586983, 214718362, 214840762",2
"214586983, 214840762",8
214587028,3
214587167,2
214587307,8
214587384,9
"214587384, 214717888",2
